,Caption,Brief Description,Algorithm,Jurisdiction,Application Areas,Cause of Action,Issues,Date Action Filed,New Activity,Link,Status
54,"LivePerson, Inc. v. 24/7 Customer, Inc.",A federal jury awarded LivePerson Inc. an award of $30 million against 24/7ai misuse of trade secrets claims from online chat platform and customer engagement technology,,Federal: District Court S.D. New York; Transferred to District Court N.D. California,"Copyright, Intellectual Property, Patent",Copyright Infringement,"Predictive Policing, Transparency/Trade Secrecy",3/6/2014,11/3/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=65,Active
55,Loomis v. Wisconsin,"Wisconsin Supreme Court rejects post-conviction Due Process challenge to the state's criminal sentencing use of COMPAS risk assessment algorithm, which was proprietary and which took gender into account",COMPAS,State: Wisconsin,Criminal Justice,"Due Process, Petition for Post-Conviction Relief","Individualized Assessment, Transparency/Trade Secrecy, User of Gender",2/13/2013,6/26/2017,https://blogs.gwu.edu/law-eti/?page_id=10&pid=1,Inactive: Judgement for D
56,Louis et al. v. SafeRent et al.,"The court denied defendants’ motion to dismiss Fair Housing Act claims, holding that SafeRent Solutions, LLC is subject to the Fair Housing Act’s ban on racial discrimination in housing. Even though SafeRent is not a landlord, the court determined that the plaintiffs adequately alleged that property owners relied solely on SafeRent’s tenant screening score, and adequately alleged those scores had a disparate impact on Black and Hispanic renters.",,the U.S. District Court for the District of Massachusetts,"Civil Rights, Housing",Fair Housing Act,"Lack of Human Review, Socioeconomics Bias, Miscalculation, Reliability",5/25/2022,7/26/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=108,Active
57,Louisiana v. Hickerson,"Court denied motion to overturn the conviction of racketeering and a new trial in light of the Prosecutor not disclosing the use of the Palantir Gotham system that mapped gang members' connections, as Gotham was not used in Hickerson's case, Hickerson files full appeal",Gotham,State: Louisiana,Criminal Justice,Conviction Challenge,"Predictive Policing, Unaware of Use of Algorithm, Use of Race",6/1/2013,12/30/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=18,Inactive: denial of motion for new trial
58,Lynch v. Florida,"Defendant appeals conviction claiming he was misidentified by the facial recognition software comparing a photo an undercover cop snapped during a drug deal, noting even the analyist did not know how the facial recognition algorithm worked",FACES,State: Florida,Facial Recognition,Due Process,"Human Programming Flaws, Transparency/Trade Secrecy, Unaware of Use of Algorithm, Use of Race, Unreliability/Miscalculationns",,7/19/2019,https://blogs.gwu.edu/law-eti/?page_id=10&pid=19,Inactive: Appeals denied
59,Malenchik v. State,,LSI-R,State: Indiana,"Criminal Justice, Sentencing",,,,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=35,
60,"Marron v. Clearview AI, Inc.","Violates BIPA; seeking injunctive relief, statutory damages, and litigation costs",Clearview,Federal: US Dist. Ct. N.D. Illinois; Transferred to US Dist Ct. S.D. New York.; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,BIPA,Privacy,5/20/2020,1/8/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=40,Active
61,Matsko v. Tesla,"Plaintiff seeks to bring class action against Tesla for misrepresenting what its Autopilot software can do, alleging that those misrepresentations violated the Magnusson-Moss Warranty Act, breached express and implied warranties, and give rise to other causes of action.",Autopilot,Federal: US Dist. Ct. N.D. Ca.,Autonomous Vehicles,Breach of Implied Warranty,"Misrepresentation, Autonomous Vehicle",9/4/2022,1/18/2024,https://blogs.gwu.edu/law-eti/?page_id=10&pid=97,Active
62,Matter of Nonhuman Rights Project Inc. v Stanley,"Denying a writ of habeas corpus for two chimpanzees and dismissing a petition by the NonHumanRightsProject, even with over 100 affidavits recounting cognitive ability and autonomy.",,State; New York,Constitutional Law,Habeas Corpus,AI Adjacent,12/1/2013,7/29/2015,https://blogs.gwu.edu/law-eti/?page_id=10&pid=70,Inactive: Dismissed
63,"McPherson v. Clearview AI, Inc.","Class transferred and consolidated into In re Clearview, complaint charged that Clearview violated Violates BIPA and receives unjust enrichment. Sought injunctive relief, declaratory jt., restitution, damages, and litigation costs",Clearview,Federal: US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,"BIPA, Unjust Enrichment",Privacy,4/15/2020,1/12/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=32,Active
64,"McRO, Inc. v. Bandai Namco Games America, Inc.","A patent infringement case of video game design involving software applications to automatically animate lip synchronization and facial expression, the court found no infringement and found invalidity based on the lack of specificity in enablement",,"Federal: U.S. District Court, C.D. California","Intellectual Property, Patent",Patent Application,Functionality,12/4/2012,9/13/2016,https://blogs.gwu.edu/law-eti/?page_id=10&pid=62,Inactive
65,"Mobley v. Workday, Inc.","A class action lawsuit was brought to challenge to Workday's artificial intelligence systems and screening tools, arguing that these tools are biased against applicants who are either over the age of 40, Black, or disabled. The lawsuit argues that Workday violated the Age Discrimination in Employment Act, the Americans with Disabilities Act, and the Civil Rights Act.",ATS,N.D. Cal,"Civil Rights, Employment, Hiring",Civil Rights,"Programmer Bias, Transparency/Trade Secrecy, Use of Race",2/21/2023,1/11/2024,https://blogs.gwu.edu/law-eti/?page_id=10&pid=86,Active
66,"Mutnick v. Clearview AI, Inc.","Class transferred and consolidated into In re Clearview, complaint charged that Clearview violated Violates BIPA, 1A by intefering with use of social media sites, 4A gathering images under color of law, 14A threatening free assembly and exposing users to identity theft and domestic violence etc, Const. contracts clause, unjust enrichment; and sought seeking injunctive relief (deletion of data), damages, and litigation costs",Clearview,Federal: US Dist. Ct. N.D. Illinois; Transferred to US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,"BIPA, Unjust Enrichment","Facial Recognition, Privacy",1/22/2020,1/8/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=29,Active
67,National Fair Housing Alliance v. Facebook,"Settlement between Facebook and the National Housing Groups to restructure Facebook's previous advertising settings that allowed advertisers to exclude targeted audiences based on race, gender, or families",,Federal: US Dist Ct. S.D. New York,"Advertising, Credit, Housing",Fair Housing Act,"Advertising DIscrimination, Socioeconomics Bias, Use of Race, User of Gender",3/27/2018,3/29/2019,https://blogs.gwu.edu/law-eti/?page_id=10&pid=22,Inactive: Settled
68,"Nevarez v. Forty Niners Football Co., LLC","In a mobility disability access class action, a trial court ruled that the Federal Rules of Evidence would prohibit the use of AI to identify non-responsive documents without identifying a “cut-off” point during review",,Federal: U.S. District Court N.D. California,Disabilities Benefits,Evidence,Transparency/Trade Secrecy,12/7/2016,7/23/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=60,Inactive: Settlement
69,Nilsson v. General Motors,"General Motors settled with motorcyclist injured in crash with a self-driving car, arguing GM negligently breached the duty of care for obeying traffic laws by swerving into another lane",,Federal: US Dist.Ct. N.D. California,Autonomous Vehicles,Negligence,"Product Liability, Underperformance",1/22/2018,6/26/2018,https://blogs.gwu.edu/law-eti/?page_id=10&pid=27,Inactive: Settled
70,Ogletree v. Cleveland State University,A student sued his university arguing that the use of remote proctoring tools violated his Fourth Amendment rights. The court found that the room scans were a search and that the student's privacy interests outweighed the university's interests in conducting the scans.,Rospondus; Honorlock,U.S Distr. Ct. N.D. Ohio,"Constitutional Law, Privacy",Fourth Amendment,Privacy,3/2/2021,9/25/2022,https://blogs.gwu.edu/law-eti/?page_id=10&pid=80,Active: Appeal Filed
71,P.M. v. OpenAI LP,"Anonymous plaintiffs sue OpenAI and Microsoft alleging theft of private information from users of ChatGPT and of many other applications with which ChatGPT is integrated, resulting in a variety of privacy and property-based claims.",ChatGPT,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Conversion, Failure to Warn, Illinois Biometric Information Privacy Act, Intrusion Upon Seclusion, Larceny / Receipt of Stolen Property, New York General Business Law, Negligence, Right to Privacy, Unjust Enrichment, Unfair Competition",Privacy,6/28/2023,9/15/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=93,Inactive
72,Parsa et al v. Google L.L.C. et al,"AI Foundation brought suit against Big Tech companies and notable political figures for ""developing code, algorithms, and ecosystems"" to polarize hate among political parties, supply biometric information and algorithms that have resulted in and perpetuate mass genocide, and making it difficult for the AI Foundation to spread awareness of the dangers of AI, dismissed for failure to show cause",,Federal: US Dist. Ct S.D. California,"Crimes Against Humanity, Genocide, Nuremberg Laws, Social Media","18 U.S.C. §1038 False Information and Hoaxes, 22 U.S.C. §2551, CECPA, CFAA, FTC Act, Genocide Convention, Negligence","Facial Recognition, Hate Speech, Misinformation, Misuse of AI",12/16/2019,6/6/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=9,Inactive: Dismissed for failure to prosecute
73,"Patel v. Facebook, Inc.",A plaintiff whose common law privacy rights or biometric privacy rights are violate establishes an injury in fact that is required under Article III standing.,,U.S. District Court for Northern California,Biometric Data,Illinois Biometric Information Privacy Act,Facial Recognition,,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=74,
74,People v. H.K,"On the heels of People v.Wakefield, the court found that TrueAllele's source code running DNA found at the crime scene against defendant DNA to produce probabilities was not sufficient to make the source code a declarant",TrueAllele,State: New York Criminal County Bronx,"Constitutional Law, Criminal Justice, Sentencing","Biometric Information Privacy Act, 6th Amendment","Reliability, Confrontation Clause",10/28/2018,5/15/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=55,Inactive
75,People v. Superior Court (Chubbs),"Similar to H.K. and Wakefiled, the confrontation clause is not violated when the defendant does not have access to the source code of the DNA genotyping algorithm.",,State: Los Angeles County Super. Ct.,Criminal Justice,Due Process,Confrontation Clause,11/18/2012,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=66,Inactive
76,People v. Wakefield,"Acknowledging the intersection of due process and scientific advancements, the highest court affirmed a trial court finding that TrueAllele Casework System, the DNA software program used to identify defendant in a murder scene, was generally accepted by the scientific community and did not violate defendant's right to face accusers by not having access to the source code by differentiating DNA collection vs. DNA probability",TrueAllele,State: New York,"Constitutional Law, Criminal Justice, DNA Analysis, Sentencing","Biometric Information Privacy Act, Conviction Challenge, Due Process, Evidence, 6th Amendment","Admissibility, Transparency/Trade Secrecy, Unreliability, Reliability, Confrontation Clause",,8/15/2019,https://blogs.gwu.edu/law-eti/?page_id=10&pid=54,Inactive
77,People v. Younglove,,COMPAS,State: Michigan,"Criminal Justice, Sentencing",,,,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=37,
78,Rana v. Amazon et al,"A lawsuit against Amazon for vicarious liability of a delivery truck driver Williams, the contracting delivery company Harper Logistics and the delivery business’s insurance provider, Old Republic Insurance Co. for a car crash by Amazon Delivery Driver that left plainitff paralyzed.",,State: Georgia,Personal Injury,"Negligence, Vicarious Liability",Misuse of AI,6/25/2021,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=71,Active
79,"Renderos v. Clearview AI, Inc.","Plaintiffs initially filed suit against Clearview in County of Alameda Superior Court in California on March 9, 2021. Clearview filed an action to remove the matter to the Northern District of California (N.D. Cal.). This case was transferred to N.D. Ill. on Oct. 5, 2021, to be joined with the existing MDL, In re Clearview.",Clearview,California,"Biometric Data, Facial Recognition, Privacy","Right to Privacy, Right to Publicity","Facial Recognition, Law Enforcement",3/14/2021,10/5/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=73,Inactive
80,"Roberson v. Clearview AI, Inc.",,Clearview,Federal: E.D. Va.; Transferred to Federal: US Dist Ct. S.D. New York; Transferred to US Dist. Ct. N.D. Illinois,Facial Recognition,,Privacy,2/3/2020,1/12/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=33,Active
81,Rodriguez v. Massachusetts Parole Board,"Mr. Rodriguez, an incarcerated plaintiff in Massachusetts, was consistently denied parole based on a predictive algorithm that gave him a high-risk score for reoffense. Rodriguez sued the Massachusetts Parole Board, arguing that the use of this algorithm failed to consider relevant factors and violated his due process rights. The Supreme Judicial Court of Massachusetts held that the board had appropriately considered the relevant factors and affirmed its decision to deny parole.",LS/CMI,Massachusetts Supreme Judicial Court for the Commonwealth,"Civil Rights, Criminal Justice",5th Amendment,"Individualized Assessment, Misuse of AI, Transparency/Trade Secrecy",11/23/2022,3/7/2022,https://blogs.gwu.edu/law-eti/?page_id=10&pid=79,Inactive: Judgment for D
82,Sancton v. OpenAI Inc.,"Nonfiction author Julian Sancton files a copyright infringement suit against OpenAI and Microsoft, proposing a class action involving all authors of nonfiction works registered at the Copyright Office that have received ISBNs or were published in academic journals and that were copied as training data for ChatGPT.",ChatGPT,Federal: US Dist. Ct. S.D.N.Y.,Generative AI,Copyright Infringement,"Copyright Infringement, Fair Use",11/21/2023,11/22/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=105,Active
83,"Sevatec, Inc. v. Ayyar",The court allowed expert testimony at trial to understand complex evidence related to artificial intelligence,,State: Fairfax County of Virginia,Corporate Law,"Evidence, Fiduciary Duty",Role of Expert Testimony,10/9/2018,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=57,Active
84,"Silverman v. OpenAI, Inc.","Authors Sarah Silverman, Christopher Golden and Richard Kadrey sue OpenAI, Inc. on behalf of themselves and all persons domiciled in the United States owning copyright in any work used as training data for OpenAI's ChatGPT large language models, including GPT-3.5 and GPT-4, alleging copyright infringement, removal of copyright management information, unfair competition, unjust enrichment, and negligence.",ChatGPT,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Copyright Infringement, Negligence, Unjust Enrichment, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,7/7/2023,7/24/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=91,Active
85,State of Washington v. Flanigan et al,"Defendants Flanigan et al sought discovery from Washington State Patrol for access to the Draeger machine for dynamic testing comparing the software to what the machine actually does as opposed to time-consuming static testing, the court granted discovery of the materials reasonably in possession or in control of by the State Snohomish County Prosecuting Office: two instruments and the software code under a protective order",Draeger Alcotest,"State: Washington Snohomish County Court, South County",Breathalyzer,"Discovery, Evidence, Protective Order","Admissibility, Transparency/Trade Secrecy",1/1/2015,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=41,
86,State v. Pickett,"Court of Appeals ruling that the source code must be revealed under a protective order for effective review of the reliability of the state's proprietary DNA analysis when there was not enough DNA for traditional DNA analysis to identify a criminal defendant, emphasizing the importance of independent review and the dangers of programmer bias",TrueAllele,State: New Jersey,"Criminal Justice, DNA Analysis, Intellectual Property","5th Amendment, N.J.R.E. 702, 6th Amendment","Insufficient Research, Role of Expert Testimony, Transparency/Trade Secrecy, Unreliability/Miscalculationns",4/16/2017,2/3/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=21,Active: On Remand
87,Thaler v. Commissioner of Patents,The Court upheld the UKIPO's dismissal of Thaler's patents for not having followed the statutory requirements for an application that the inventor be a natural person.,DABUS,International: England and Wales Court of Appeal (Civil Division),Intellectual Property,Patent Application,AI as Inventor,8/29/2019,9/21/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=51,Inactive: Decision for P
88,Thaler v. Comptroller General of Patents Trade Marks and Designs,"In a landmark decision, the Australian Federal Court set aside the Deputy Commissioner's decision that an artificial intelligence program could not be an inventor, allowing application to go forward when scientist Thaler listed the algorithm DABUS as the inventor for which he owns the copyright to the DABUS source code. Australia sides with South Africa, who outright granted Thaler's application, whereas the US, EU, and UK do not view AI as inventors.",DABUS,International: Federal Court of Australia,Intellectual Property,Patent Application,AI as Inventor,2/9/2021,8/30/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=50,Active: On Appeal
89,Thaler v. Iancu (Vidal),The court ruled that AI could not be an inventor.,,Federal: U.S. Dist. Ct. E.D. Va.,"Intellectual Property, Patent",Patent Application,AI as Inventor,8/6/2020,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=69,Active
90,Thaler v. Perlmutter et al,"Stephen Thaler, owner of an artificial intelligence system that he calls a ""creativity machine,"" challenges the refusal of Shira Perlmutter, in her capacity as the Register of Copyrights, to issue a copyright registration for a graphic art work entitled ""A Recent Entrance to Paradise,"" which Thaler alleges was authored by his ""creativity machine."" The District Court ruled that a work authored wholly by a machine is not protected by copyright, and the case is now on appeal.",Creativity Machine,Federal: US Dist. Ct. D. D.C.,Generative AI,Administrative Procedure Act,AI as Author,6/2/2022,10/18/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=81,Active
91,The New York Times Company v. Microsoft,"The New York Times Company sues Microsoft and OpenAI, alleging that they have committed direct, contributory and vicarious copyright infringement; misappropriation of news items, and trademark dilution through the training and operation of their generative AI services Copilot and ChatGPT.","ChatGPT, Copilot",Federal: US Dist. Ct. S.D.N.Y.,Generative AI,"Copyright Infringement, Trademark Dilution, Commercial Misappropriation, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,12/27/2023,12/27/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=107,Active
92,Thomson Reuters Enterprise Centre GmbH v. ROSS Intelligence Inc.,"Thomson Reuters alleges that ROSS Intelligence induced another company to copy content from its Westlaw online legal research service, including both judicial opinions and West key numbers and headnotes, and used it to create its own competing legal research service, giving rise to claims for copyright infringement and tortious interference with contractual relations.",,Federal: US Dist. Ct. D. Del.,"Legal Research, Natural Language Processing",Copyright Infringement,"Copyright Infringement, Fair Use",5/6/2020,9/25/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=102,Active
93,"Thornley v. Clearview AI, Inc.",Clearview has appealed Remand in 7th Cir.,Clearview,State: Illinois Cir. Ct. (Cook County); Removd to N.D. Ill.; Transferred to US Dist Ct. S.D. New York BUT Remanded to Ill. Cir. Ct. (Cook County),Facial Recognition,,Privacy,5/27/2020,3/25/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=39,Active
94,"Tremblay v. OpenAI, Inc.","Authors Paul Tremblay and Mona Awad sue OpenAI, Inc. on behalf of themselves and all persons domiciled in the United States owning copyright in any work used as training data for OpenAI's ChatGPT large language models, including GPT-3.5 and GPT-4, alleging copyright infringement, removal of copyright management information, unfair competition, unjust enrichment, and negligence.",ChatGPT,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"Copyright Infringement, Negligence, Unjust Enrichment, Unfair Competition, 17 U.S.C. 1202 Removal of Copyright Management Information",Copyright Infringement,6/28/2023,7/19/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=92,Active
95,Tyndaris v. VWM Limited,"Suit by Tyndaris for unpaid fees, countersuit by VWM for misrepresentation and breach of contract, first determining if under civil liabilty Tyndaris is responsible as a custodian for the algorithm's mistakes, expected to be landmark case as first UK case to discuss machine learning",,"International: London Commercial Court: the UK site is horrendously difficult to navigate, need a link to the case docket","Investment, Portfolio Management, Trading","Article 1465 of the Civil Code of Quebec, Breach of Contract","Misrepresentation to Client, Underperformance",5/1/2018,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=12,Active
96,"Umeda v. Tesla, Inc.","Court dismissed suit by estate of Japanese pedestrian killed by Tesla Autopilot operated by Japanese driver because Japan is an adequate alternative, denying plaintiff's motions for judicial notice of articles about Tesla personnel changes and Tesla's forecasts but granting Plaintiff's motion to include congrsesional hearings about autopilot and an article about the specific accident",Autopilot,Federal: US Dist. Ct. N.D. California,Autonomous Vehicles,"Design Defects, Failure to Warn, Loss of Consortium, Negligence, Survival Action, Wrongful Death","Product Liability, Underperformance",4/28/2020,1/15/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=25,Inactive: Dismissed for Forum Non Conveniens
97,United States v. Curry,"Court found that there were no exigent circumstances to justify the police seizing a defendant with no suspicious activity near the scene of gunshots because an algorithm indicated the area would be a hot spot for criminal activity, where the concurrence and dissent addressed that predictive policing algorithms have been shown to have questionable effectiveness and clear racial bias.",,Federal: US Dist. Ct. E.D. Virginia,"Criminal Justice, Search and Seizure","Exigent Circumstances, Fourth Amendment","Human Programming Flaws, Predictive Policing, Unreliability, Use of Race",10/3/2017,9/25/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=3,Inactive: Judgement for D
98,"United States v. Meta Platforms, Inc.","On June 27, 2022, the court approved the parties’ settlement agreement and entered a final judgment in United States v. Meta Platforms, Inc., f/k/a Facebook, Inc. (S.D.N.Y.). The complaint, which was filed on June 21, 2022, alleged that Meta’s housing advertising system discriminated against Facebook users based on their race, color, religion, sex, disability, familial status, and national origin, in violation of the Fair Housing Act (FHA). Specifically, the complaint alleged, among other things, that Meta uses algorithms in determining which Facebook users receive housing ads and that those algorithms rely, in part, on characteristics protected under the FHA. Under the settlement, Meta stopped using an advertising tool (known as the “Special Ad Audience” tool) for housing ads and developed a new system, the Variance Reduction System (VRS), to address racial and other disparities caused by its use of personalization algorithms in its ad delivery system for housing ads.",,"District Court, S.D. New York","Civil Rights, Housing",Fair Housing Act,"Advertising DIscrimination, Socioeconomics Bias, Targeted Advertising, Use of Race, User of Gender",6/21/2022,10/30/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=111,Inactive
99,United States v. Wilson,The 9th Circuit found that the defendant's Fourth Amendment rights were violated when Google's algorithm—without opening the email—detected child pornography attached to one of the emails he sent and reported it to law enforcement.,Image matching system,9th Cir.,"Constitutional Law, Criminal Justice, Privacy, Search and Seizure",Fourth Amendment,"Law Enforcement, Privacy",6/27/2023,,https://blogs.gwu.edu/law-eti/?page_id=10&pid=85,Inactive: Judgment for D
100,Van Pelt v. Cigna Group,"The action, which was filed in the U.S. District Court for the District of Connecticut, captioned Van Pelt v. The Cigna Group, et al., Case No. 3:23-cv-01135, alleges that Defendants have implemented sophisticated automated intelligence capabilities to systematically defraud consumers by denying medically necessary claims en mass without appropriate physician review. The action further alleges that Cigna’s automated systems allow its medical directors to automatically deny medically necessary claims without even opening patient medical records. The action further alleges that Cigna’s automated review program reportedly automatically denied without review over 300,000 claims, spending an average of 1.2 seconds on each claim.",,US District Court for the District of Connecticut,"Civil Rights, Health","Breach of Contract, Unfair and Deceptive Trade Practices, Unjust Enrichment","Accountability, Individualized Assessment, Lack of Human Review, Lack of Remedy, Misuse of AI",8/25/2023,11/6/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=114,Inactive
101,Velesaca v. Decker,"Class action filed by non citizens detained in New York challenging the ""no release policy,"" arguing that a change to the assessment algorithm resulted in a lack of ICE bond hearings and solely recommending detention, with preliminary injunction granted to return to individualized assessment due to COVID safety",Risk Classification Assessment Tool,Federal: US Dist. Ct. S.D. New York,"Detention and Release, Immigration","5th Amendment, Administrative Procedure Act, Due Process Clause, Immigration and Nationality Act, Preliminary Injunction, Rehabilitation Act","Programmer Bias, Use of Race",2/28/2020,3/8/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=49,Active: Settlement Negotiations
102,"Vermont v. Clearview AI, Inc.","Vermont Attorney General brought three Vermonst consumer protection claims: unfair and deceptive practices by collection photographs and making misrepresenations about their program and fraudelently acquiring brokered personal information against Cleaview, and it survived a motion to dismiss where Clearview argued 1A, 230, Standing and Venue in M2D",Clearview,State: Vermont Sup. Ct. (Chittenden Unit),Facial Recognition,UDAP,"Law Enforcement, Privacy",3/1/2020,9/20/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=36,Active
103,"Walters v. OpenAI, L.L.C.","Plaintiff sues developer of ChatGPT for defamation, alleging that ChatGPT generated false and defamatory statement about him as having embezzled from an organization called the Second Amendment Foundation. Defendant removes to this federal court.",ChatGPT,Federal: US Dist. Ct. N.D. Ga.,Generative AI,Defamation,Unreliability,7/14/2023,7/14/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=96,Active
104,"Walters v. OpenAI, LLC","Plaintiff sues developer of ChatGPT for defamation, alleging that ChatGPT generated false and defamatory statement about him as having embezzled from an organization called the Second Amendment Foundation. Defendant removed to federal court.",ChatGPT,"State: Georgia, Superior Ct. of Gwinnett County",Generative AI,Defamation,Reliability,6/5/2023,7/14/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=95,Inactive
105,WeRide Corp. v. Kun Huang,"Autonomous vehicle companies won suit against a former employee and his current autonomous vehicle employer for misappropriation of trade secrets, succeeding on likelihood to succeed on the merits when they demonstrated particular files in the code base and demonstrated that the source code was only accessible on-site or using a VPN by employees.",,"Federal: United States District Court, N.D. California, San Jose Division","Autonomous Vehicles, Intellectual Property",,"Transparency/Trade Secrecy, Functionality, Autonomous Vehicle",11/29/2018,5/8/2020,https://blogs.gwu.edu/law-eti/?page_id=10&pid=59,Inactive
106,"Williams-Sonoma, Inc. v. Amazon.com, Inc.","Williams-Sonoma sued Amazon for, among other things, copyright infringement stemming from Williams-Sonoma-owned photographs that an Amazon algorithm selected for display on Amazon's website from photographs submitted by third-party vendors. The court denied Amazon's motion to dismiss, holding that there were sufficient allegations that Amazon engaged in ""volitional conduct"" through its algorithm in selecting the photographs, and that Amazon's algorithm took actions that disqualified it from DMCA section 512(c) safe harbor protection.",,Federal: U.S. Dist. Ct. N.D. California,Copyright,Copyright Infringement,Infringement,12/13/2018,4/19/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=76,Inactive
107,Zalatel v. Prisma Labs,"The district court balanced the trademark infringement likelihood of confusion factors, focusing on the functionality of the defendant's machine learning programming that creates a machine redrawn image rather than photo filtering",,Federal: District Court District of Delaware,"Infringement, Intellectual Property",Trademark infringement,Functionality,9/19/2016,6/8/2017,https://blogs.gwu.edu/law-eti/?page_id=10&pid=56,Inactive
108,"Zhang v. Baidu.Com, Inc.,",A group of New York residents who advocate for increased democracy in China sued Baidu for blocking their materials in the United States. The court found that allowing plaintiffs to sue Baidu for its editorial judgements would violate the First Amendment.,,S.D.New York,Civil Rights,Civil Rights,Accountability,5/18/2011,8/1/2014,https://blogs.gwu.edu/law-eti/?page_id=10&pid=77,Appeal Withdrawn
109,Zynda et al. v. Zimmer et al.,"Settlement agreement in which Michigan's Unemployment Insurance Agency admits no wrongdoing in its use of MiDAS (Michigan Integrated Data Automated System) that wrongfully accused 40,000 residents of fraud, in exchange for terms of reasonable review and investigation into UIA's procedure and policy, requiring future commnications in plain language and with adequate notice, and providing the claimant with reasons for why they were flagged for fraud and ability to appeal",MiDAS,Federal: US Dist. Ct. E. D. Michigan,"Agency, Civil Rights, Fraud, Unemployment Insurance","Due Process, Injunction, Social Security Act","Accountability, Lack of Human Review, Lack of Remedy, Notice, Role of Expert Testimony, Miscalculation",4/21/2015,2/2/2017,https://blogs.gwu.edu/law-eti/?page_id=10&pid=42,Inactive: Settled
